"","C0","A0","A1","A2","A3","A4","A5","A6","A7","H0","H1","H2","H3","H4","H5","H6","H7","W0","W1","W2","W3","W4","W5","W6","W7","B0","B1","B2","B3","B4","B5","B6","B7","O0","O1","O2","O3","O4","O5","O6","O7","Y0","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Z0","Z1","Z2","Z3","Z4","Z5","Z6","Z7"
"1","Anderson",0,1,1,1,1,1,1,"*",5,15,8,4,3,3,2,"*",9,13,7,4,3,2,2,"*",12,15,8,4,3,3,2,"*",11,16,8,4,4,3,2,"*",3,13,7,4,3,2,2,"*",0,1,1,1,1,1,1,"*"
"2","Andrews",0,1,1,1,1,1,1,"*",1,7,4,2,2,2,1,"*",1,5,3,2,1,1,1,"*",0,1,1,1,1,1,1,"*",1,6,3,2,2,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*"
"3","Angelina",0,1,1,1,1,1,1,"*",12,17,9,5,4,3,2,"*",27,17,9,5,4,3,2,"*",35,18,9,5,4,3,2,"*",14,16,9,5,4,3,2,"*",7,16,9,5,4,3,2,"*",2,15,8,4,3,3,2,"*"
"4","Aransas",0,1,1,1,1,1,1,"*",2,11,6,3,3,2,2,"*",7,12,6,3,3,2,2,"*",7,13,7,4,3,2,2,"*",4,12,6,3,3,2,2,"*",2,11,6,3,3,2,2,"*",1,12,6,3,3,2,2,"*"
"5","Archer",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",1,6,3,2,2,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*"
"6","Armstrong",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*"
"7","Atascosa",0,1,1,1,1,1,1,"*",7,15,8,4,4,3,2,"*",21,16,8,4,4,3,2,"*",30,17,9,5,4,3,2,"*",13,16,8,4,4,3,2,"*",3,13,7,4,3,2,2,"*",1,12,6,3,3,2,2,"*"
"8","Austin",0,1,1,1,1,1,1,"*",2,11,6,3,3,2,2,"*",11,14,7,4,3,3,2,"*",5,11,6,3,3,2,2,"*",3,11,6,3,3,2,2,"*",3,13,7,4,3,2,2,"*",1,12,6,3,3,2,2,"*"
"9","Bailey",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",1,5,3,2,1,1,1,"*",1,6,3,2,2,1,1,"*",1,7,4,2,2,1,1,"*",1,9,5,3,2,2,1,"*",0,1,1,1,1,1,1,"*"
"10","Bandera",0,1,1,1,1,1,1,"*",1,7,4,2,2,2,1,"*",5,11,6,3,3,2,2,"*",4,10,5,3,2,2,2,"*",4,12,6,3,3,2,2,"*",2,11,6,3,3,2,2,"*",0,1,1,1,1,1,1,"*"
"11","Bastrop",0,1,1,1,1,1,1,"*",16,18,9,5,4,3,2,"*",46,18,9,5,4,3,2,"*",28,17,9,5,4,3,2,"*",29,18,9,5,4,3,2,"*",19,18,9,5,4,3,2,"*",5,18,9,5,4,3,2,"*"
