"","C0","C1","C2","C3","C4","C5","C6","C7","C8"
"1","Anderson","An","A","A","A or B","A:C","A:G","A:G","*"
"2","Andrews","An","A","A","A or B","A:C","A:G","A:G","*"
"3","Angelina","An","A","A","A or B","A:C","A:G","A:G","*"
"4","Aransas","Ar","A","A","A or B","A:C","A:G","A:G","*"
"5","Archer","Ar","A","A","A or B","A:C","A:G","A:G","*"
"6","Armstrong","Ar","A","A","A or B","A:C","A:G","A:G","*"
"7","Atascosa","A*","A","A","A or B","A:C","A:G","A:G","*"
"8","Austin","A*","A","A","A or B","A:C","A:G","A:G","*"
"9","Bailey","Ba","B","B","A or B","A:C","A:G","A:G","*"
"10","Bandera","Ba","B","B","A or B","A:C","A:G","A:G","*"
"11","Bastrop","Ba","B","B","A or B","A:C","A:G","A:G","*"
"12","Baylor","Ba","B","B","A or B","A:C","A:G","A:G","*"
"13","Bee","Be","B","B","A or B","A:C","A:G","A:G","*"
"14","Bell","Be","B","B","A or B","A:C","A:G","A:G","*"
"15","Bexar","Be","B","B","A or B","A:C","A:G","A:G","*"
"16","Blanco","A*","B","B","A or B","A:C","A:G","A:G","*"
"17","Borden","Bo","B","B","A or B","A:C","A:G","A:G","*"
"18","Bosque","Bo","B","B","A or B","A:C","A:G","A:G","*"
"19","Bowie","Bo","B","B","A or B","A:C","A:G","A:G","*"
"20","Brazoria","Br","B","B","A or B","A:C","A:G","A:G","*"
"21","Brazos","Br","B","B","A or B","A:C","A:G","A:G","*"
"22","Brewster","Br","B","B","A or B","A:C","A:G","A:G","*"
"23","Briscoe","Br","B","B","A or B","A:C","A:G","A:G","*"
"24","Brooks","Br","B","B","A or B","A:C","A:G","A:G","*"
"25","Brown","Br","B","B","A or B","A:C","A:G","A:G","*"
"26","Burleson","Bu","B","B","A or B","A:C","A:G","A:G","*"
"27","Burnet","Bu","B","B","A or B","A:C","A:G","A:G","*"
"28","Caldwell","Ca","C","C","C","A:C","A:G","A:G","*"
"29","Calhoun","Ca","C","C","C","A:C","A:G","A:G","*"
"30","Callahan","Ca","C","C","C","A:C","A:G","A:G","*"
"31","Cameron","Ca","C","C","C","A:C","A:G","A:G","*"
"32","Camp","Ca","C","C","C","A:C","A:G","A:G","*"
"33","Carson","Ca","C","C","C","A:C","A:G","A:G","*"
"34","Cass","Ca","C","C","C","A:C","A:G","A:G","*"
"35","Castro","Ca","C","C","C","A:C","A:G","A:G","*"
"36","Chambers","Ch","C","C","C","A:C","A:G","A:G","*"
"37","Cherokee","Ch","C","C","C","A:C","A:G","A:G","*"
"38","Childress","Ch","C","C","C","A:C","A:G","A:G","*"
"39","Clay","C*","C","C","C","A:C","A:G","A:G","*"
"40","Cochran","Co","C","C","C","A:C","A:G","A:G","*"
"41","Coke","Co","C","C","C","A:C","A:G","A:G","*"
"42","Coleman","Co","C","C","C","A:C","A:G","A:G","*"
"43","Collin","Co","C","C","C","A:C","A:G","A:G","*"
"44","Collingsworth","Co","C","C","C","A:C","A:G","A:G","*"
"45","Colorado","Co","C","C","C","A:C","A:G","A:G","*"
"46","Comal","Co","C","C","C","A:C","A:G","A:G","*"
"47","Comanche","Co","C","C","C","A:C","A:G","A:G","*"
"48","Concho","Co","C","C","C","A:C","A:G","A:G","*"
"49","Cooke","Co","C","C","C","A:C","A:G","A:G","*"
"50","Coryell","Co","C","C","C","A:C","A:G","A:G","*"
