"","C0","C1","C2","C3","C4","C5","C6","C7"
"1","Anderson",14,8,4,3,3,2,"*"
"2","Andrews",10,6,3,3,2,2,"*"
"3","Angelina",17,9,5,4,3,2,"*"
"4","Aransas",12,6,3,3,2,2,"*"
"5","Archer",7,4,2,2,1,1,"*"
"6","Armstrong",2,1,1,1,1,1,"*"
"7","Atascosa",15,8,4,3,3,2,"*"
"8","Austin",13,7,4,3,2,2,"*"
"9","Bailey",6,3,2,2,1,1,"*"
"10","Bandera",12,6,3,3,2,2,"*"
"11","Bastrop",17,9,5,4,3,2,"*"
"12","Baylor",4,2,1,1,1,1,"*"
"13","Bee",12,6,3,3,2,2,"*"
"14","Bell",19,10,5,4,3,2,"*"
"15","Bexar",20,10,5,4,3,2,"*"
"16","Blanco",8,5,3,2,2,1,"*"
"17","Borden",1,1,1,1,1,1,"*"
"18","Bosque",10,6,3,3,2,2,"*"
"19","Bowie",17,9,5,4,3,2,"*"
"20","Brazoria",19,10,5,4,3,2,"*"
"21","Brazos",19,10,5,4,3,2,"*"
"22","Brewster",7,4,2,2,1,1,"*"
"23","Briscoe",2,1,1,1,1,1,"*"
"24","Brooks",6,3,2,2,1,1,"*"
"25","Brown",14,7,4,3,3,2,"*"
"26","Burleson",10,6,3,2,2,2,"*"
"27","Burnet",15,8,4,4,3,2,"*"
"28","Caldwell",15,8,4,3,3,2,"*"
"29","Calhoun",11,6,3,3,2,2,"*"
"30","Callahan",9,5,3,2,2,1,"*"
"31","Cameron",19,10,5,4,3,2,"*"
"32","Camp",9,5,3,2,2,1,"*"
"33","Carson",5,3,2,2,1,1,"*"
"34","Cass",13,7,4,3,2,2,"*"
"35","Castro",6,3,2,2,1,1,"*"
"36","Chambers",15,8,4,3,3,2,"*"
"37","Cherokee",15,8,4,3,3,2,"*"
"38","Childress",5,3,2,1,1,1,"*"
"39","Clay",8,4,2,2,2,1,"*"
"40","Cochran",2,1,1,1,1,1,"*"
"41","Coke",4,2,1,1,1,1,"*"
"42","Coleman",6,4,2,2,1,1,"*"
"43","Collin",20,10,5,4,3,2,"*"
"44","Collingsworth",3,2,1,1,1,1,"*"
"45","Colorado",11,6,3,3,2,2,"*"
"46","Comal",18,9,5,4,3,2,"*"
"47","Comanche",9,5,3,2,2,1,"*"
"48","Concho",3,2,1,1,1,1,"*"
"49","Cooke",14,7,4,3,3,2,"*"
"50","Coryell",17,9,5,4,3,2,"*"
"51","Cottle",2,1,1,1,1,1,"*"
"52","Crane",4,3,2,1,1,1,"*"
"53","Crockett",3,2,1,1,1,1,"*"
"54","Crosby",5,3,2,1,1,1,"*"
"55","Culberson",2,1,1,1,1,1,"*"
"56","Dallam",6,3,2,2,1,1,"*"
"57","Dallas",20,10,5,4,3,2,"*"
"58","Dawson",8,4,2,2,2,1,"*"
"59","Deaf Smith",10,6,3,3,2,2,"*"
"60","Delta",5,3,2,1,1,1,"*"
"61","Denton",20,10,5,4,3,2,"*"
"62","Dickens",2,1,1,1,1,1,"*"
"63","Dimmit",7,4,2,2,1,1,"*"
"64","Donley",4,2,1,1,1,1,"*"
"65","Duval",7,4,2,2,1,1,"*"
"66","Eastland",10,5,3,2,2,1,"*"
"67","Ector",18,9,5,4,3,2,"*"
"68","Edwards",1,1,1,1,1,1,"*"
"69","El Paso",20,10,5,4,3,2,"*"
"70","Ellis",19,10,5,4,3,2,"*"
"71","Erath",14,7,4,3,3,2,"*"
"72","Falls",10,5,3,2,2,1,"*"
"73","Fannin",13,7,4,3,2,2,"*"
"74","Fayette",12,7,4,3,2,2,"*"
"75","Fisher",4,2,1,1,1,1,"*"
"76","Floyd",5,3,2,1,1,1,"*"
"77","Foard",1,1,1,1,1,1,"*"
"78","Fort Bend",20,10,5,4,3,2,"*"
"79","Franklin",8,4,2,2,2,1,"*"
"80","Freestone",11,6,3,3,2,2,"*"
"81","Frio",9,5,3,2,2,1,"*"
"82","Gaines",11,6,3,3,2,2,"*"
"83","Galveston",19,10,5,4,3,2,"*"
"84","Garza",4,2,1,1,1,1,"*"
"85","Gillespie",13,7,4,3,2,2,"*"
"86","Glasscock",1,1,1,1,1,1,"*"
"87","Goliad",6,3,2,2,1,1,"*"
"88","Gonzales",11,6,3,3,2,2,"*"
"89","Gray",11,6,3,3,2,2,"*"
"90","Grayson",18,9,5,4,3,2,"*"
"91","Gregg",18,9,5,4,3,2,"*"
"92","Grimes",12,7,4,3,2,2,"*"
"93","Guadalupe",18,9,5,4,3,2,"*"
"94","Hale",13,7,4,3,2,2,"*"
"95","Hall",3,2,1,1,1,1,"*"
"96","Hamilton",7,4,2,2,1,1,"*"
"97","Hansford",5,3,2,1,1,1,"*"
"98","Hardeman",4,2,1,1,1,1,"*"
"99","Hardin",16,8,4,4,3,2,"*"
"100","Harris",20,10,5,4,3,2,"*"
"101","Harrison",16,9,5,4,3,2,"*"
"102","Hartley",4,2,1,1,1,1,"*"
"103","Haskell",5,3,2,1,1,1,"*"
"104","Hays",19,10,5,4,3,2,"*"
"105","Hemphill",3,2,1,1,1,1,"*"
"106","Henderson",17,9,5,4,3,2,"*"
"107","Hidalgo",20,10,5,4,3,2,"*"
"108","Hill",14,7,4,3,3,2,"*"
"109","Hockley",11,6,3,3,2,2,"*"
"110","Hood",16,8,4,4,3,2,"*"
"111","Hopkins",14,7,4,3,3,2,"*"
"112","Houston",11,6,3,3,2,2,"*"
"113","Howard",13,7,4,3,2,2,"*"
"114","Hudspeth",3,2,1,1,1,1,"*"
"115","Hunt",17,9,5,4,3,2,"*"
"116","Hutchinson",11,6,3,3,2,2,"*"
"117","Irion",2,1,1,1,1,1,"*"
"118","Jack",6,4,2,2,1,1,"*"
"119","Jackson",9,5,3,2,2,1,"*"
"120","Jasper",13,7,4,3,2,2,"*"
"121","Jeff Davis",2,1,1,1,1,1,"*"
"122","Jefferson",19,10,5,4,3,2,"*"
"123","Jim Hogg",4,3,2,1,1,1,"*"
"124","Jim Wells",14,7,4,3,3,2,"*"
"125","Johnson",18,10,5,4,3,2,"*"
"126","Jones",9,5,3,2,2,1,"*"
"127","Karnes",8,5,3,2,2,1,"*"
"128","Kaufman",18,9,5,4,3,2,"*"
"129","Kendall",15,8,4,3,3,2,"*"
"130","Kenedy",1,1,1,1,1,1,"*"
"131","Kent",1,1,1,1,1,1,"*"
"132","Kerr",16,8,4,4,3,2,"*"
"133","Kimble",4,2,1,1,1,1,"*"
"134","King",1,1,1,1,1,1,"*"
"135","Kinney",3,2,1,1,1,1,"*"
"136","Kleberg",13,7,4,3,2,2,"*"
"137","Knox",4,2,1,1,1,1,"*"
"138","La Salle",5,3,2,1,1,1,"*"
"139","Lamar",15,8,4,3,3,2,"*"
"140","Lamb",9,5,3,2,2,1,"*"
"141","Lampasas",12,6,3,3,2,2,"*"
"142","Lavaca",11,6,3,3,2,2,"*"
"143","Lee",10,5,3,2,2,1,"*"
"144","Leon",10,5,3,2,2,1,"*"
"145","Liberty",17,9,5,4,3,2,"*"
"146","Limestone",12,6,3,3,2,2,"*"
"147","Lipscomb",3,2,1,1,1,1,"*"
"148","Live Oak",8,4,2,2,2,1,"*"
"149","Llano",12,6,3,3,2,2,"*"
"150","Loving",1,1,1,1,1,1,"*"
"151","Lubbock",19,10,5,4,3,2,"*"
"152","Lynn",5,3,2,1,1,1,"*"
"153","Madison",8,4,2,2,2,1,"*"
"154","Marion",7,4,2,2,2,1,"*"
"155","Martin",5,3,2,1,1,1,"*"
"156","Mason",4,2,1,1,1,1,"*"
"157","Matagorda",13,7,4,3,2,2,"*"
"158","Maverick",16,8,4,4,3,2,"*"
"159","Medina",15,8,4,3,3,2,"*"
"160","Menard",2,1,1,1,1,1,"*"
"161","Midland",18,9,5,4,3,2,"*"
"162","Milam",12,7,4,3,2,2,"*"
"163","Mills",4,2,1,1,1,1,"*"
"164","Mitchell",6,3,2,2,1,1,"*"
