"","C0","C1","C2","C3","C4","C5"
"1","Anderson","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"2","Andrews","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"3","Angelina","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"4","Aransas","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"5","Archer","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"6","Armstrong","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"7","Atascosa","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"8","Austin","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"9","Bailey","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"10","Bandera","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"11","Bastrop","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"12","Baylor","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"13","Bee","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"14","Bell","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"15","Bexar","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"16","Blanco","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"17","Borden","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"18","Bosque","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"19","Bowie","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"20","Brazoria","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"21","Brazos","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"22","Brewster","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"23","Briscoe","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"24","Brooks","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"25","Brown","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"26","Burleson","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"27","Burnet","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"28","Caldwell","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"29","Calhoun","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"30","Callahan","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"31","Cameron","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"32","Camp","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"33","Carson","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"34","Cass","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"35","Castro","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"36","Chambers","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"37","Cherokee","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"38","Childress","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"39","Clay","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"40","Cochran","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"41","Coke","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"42","Coleman","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"43","Collin","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"44","Collingsworth","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"45","Colorado","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"46","Comal","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"47","Comanche","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"48","Concho","North Texas","North or East Texas","North or East Texas","General North Texas","*"
