"","C0","A0","A1","A2","A3","A4","A5","H0","H1","H2","H3","H4","H5","W0","W1","W2","W3","W4","W5","B0","B1","B2","B3","B4","B5","O0","O1","O2","O3","O4","O5"
"1","Anderson",0,"0","0-5","0-20","0-1000","*",9,"6-10","6-20","0-20","0-1000","*",13,"11-20","6-20","0-20","0-1000","*",17,"11-20","6-20","0-20","0-1000","*",1,"0","0-5","0-20","0-1000","*"
"2","Andrews",0,"0","0-5","0-20","0-1000","*",2,"1-5","0-5","0-20","0-1000","*",1,"0","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*"
"3","Angelina",1,"0","0-5","0-20","0-1000","*",27,"21-35","21-50","21-1000","0-1000","*",26,"21-35","21-50","21-1000","0-1000","*",42,"36-50","21-50","21-1000","0-1000","*",1,"0","0-5","0-20","0-1000","*"
"4","Aransas",1,"0","0-5","0-20","0-1000","*",2,"1-5","0-5","0-20","0-1000","*",20,"11-20","6-20","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*"
"5","Archer",0,"0","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*",1,"0","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*"
"6","Armstrong",0,"0","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*"
"7","Atascosa",0,"0","0-5","0-20","0-1000","*",49,"36-50","21-50","21-1000","0-1000","*",25,"21-35","21-50","21-1000","0-1000","*",0,"0","0-5","0-20","0-1000","*",1,"0","0-5","0-20","0-1000","*"
"8","Austin",0,"0","0-5","0-20","0-1000","*",8,"6-10","6-20","0-20","0-1000","*",12,"11-20","6-20","0-20","0-1000","*",5,"1-5","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*"
"9","Bailey",0,"0","0-5","0-20","0-1000","*",2,"1-5","0-5","0-20","0-1000","*",1,"0","0-5","0-20","0-1000","*",1,"0","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*"
"10","Bandera",0,"0","0-5","0-20","0-1000","*",2,"1-5","0-5","0-20","0-1000","*",14,"11-20","6-20","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*",0,"0","0-5","0-20","0-1000","*"
