"","C0","A0","A1","A2","H0","H1","H2","W0","W1","W2","B0","B1","B2","O0","O1","O2","Y0","Y1","Y2","Z0","Z1","Z2"
"1","Anderson",0,"zero","*",5,"non-zero","*",9,"non-zero","*",12,"non-zero","*",11,"non-zero","*",3,"non-zero","*",0,"zero","*"
"2","Andrews",0,"zero","*",1,"non-zero","*",1,"non-zero","*",0,"zero","*",1,"non-zero","*",0,"zero","*",0,"zero","*"
"3","Angelina",0,"zero","*",12,"non-zero","*",27,"non-zero","*",35,"non-zero","*",14,"non-zero","*",7,"non-zero","*",2,"non-zero","*"
"4","Aransas",0,"zero","*",2,"non-zero","*",7,"non-zero","*",7,"non-zero","*",4,"non-zero","*",2,"non-zero","*",1,"non-zero","*"
"5","Archer",0,"zero","*",0,"zero","*",0,"zero","*",1,"non-zero","*",0,"zero","*",0,"zero","*",0,"zero","*"
"6","Armstrong",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*"
"7","Atascosa",0,"zero","*",7,"non-zero","*",21,"non-zero","*",30,"non-zero","*",13,"non-zero","*",3,"non-zero","*",1,"non-zero","*"
"8","Austin",0,"zero","*",2,"non-zero","*",11,"non-zero","*",5,"non-zero","*",3,"non-zero","*",3,"non-zero","*",1,"non-zero","*"
"9","Bailey",0,"zero","*",0,"zero","*",1,"non-zero","*",1,"non-zero","*",1,"non-zero","*",1,"non-zero","*",0,"zero","*"
"10","Bandera",0,"zero","*",1,"non-zero","*",5,"non-zero","*",4,"non-zero","*",4,"non-zero","*",2,"non-zero","*",0,"zero","*"
"11","Bastrop",0,"zero","*",16,"non-zero","*",46,"non-zero","*",28,"non-zero","*",29,"non-zero","*",19,"non-zero","*",5,"non-zero","*"
"12","Baylor",0,"zero","*",0,"zero","*",1,"non-zero","*",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*"
"13","Bee",1,"non-zero","*",3,"non-zero","*",15,"non-zero","*",14,"non-zero","*",5,"non-zero","*",4,"non-zero","*",2,"non-zero","*"
"14","Bell",3,"non-zero","*",73,"non-zero","*",280,"non-zero","*",274,"non-zero","*",165,"non-zero","*",78,"non-zero","*",20,"non-zero","*"
"15","Bexar",13,"non-zero","*",434,"non-zero","*",1633,"non-zero","*",1493,"non-zero","*",943,"non-zero","*",483,"non-zero","*",181,"non-zero","*"
"16","Blanco",0,"zero","*",0,"zero","*",5,"non-zero","*",5,"non-zero","*",4,"non-zero","*",3,"non-zero","*",0,"zero","*"
"17","Borden",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*"
"18","Bosque",1,"non-zero","*",1,"non-zero","*",1,"non-zero","*",0,"zero","*",4,"non-zero","*",0,"zero","*",0,"zero","*"
"19","Bowie",3,"non-zero","*",7,"non-zero","*",26,"non-zero","*",33,"non-zero","*",21,"non-zero","*",7,"non-zero","*",2,"non-zero","*"
"20","Brazoria",1,"non-zero","*",58,"non-zero","*",162,"non-zero","*",174,"non-zero","*",127,"non-zero","*",73,"non-zero","*",25,"non-zero","*"
"21","Brazos",1,"non-zero","*",26,"non-zero","*",161,"non-zero","*",81,"non-zero","*",29,"non-zero","*",28,"non-zero","*",4,"non-zero","*"
"22","Brewster",0,"zero","*",0,"zero","*",2,"non-zero","*",1,"non-zero","*",0,"zero","*",1,"non-zero","*",0,"zero","*"
"23","Briscoe",0,"zero","*",1,"non-zero","*",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*"
"24","Brooks",0,"zero","*",0,"zero","*",2,"non-zero","*",3,"non-zero","*",0,"zero","*",0,"zero","*",0,"zero","*"
"25","Brown",0,"zero","*",2,"non-zero","*",7,"non-zero","*",4,"non-zero","*",3,"non-zero","*",1,"non-zero","*",0,"zero","*"
"26","Burleson",1,"non-zero","*",0,"zero","*",6,"non-zero","*",7,"non-zero","*",1,"non-zero","*",0,"zero","*",2,"non-zero","*"
"27","Burnet",0,"zero","*",5,"non-zero","*",14,"non-zero","*",20,"non-zero","*",10,"non-zero","*",5,"non-zero","*",3,"non-zero","*"
"28","Caldwell",0,"zero","*",13,"non-zero","*",28,"non-zero","*",15,"non-zero","*",14,"non-zero","*",10,"non-zero","*",5,"non-zero","*"
"29","Calhoun",0,"zero","*",2,"non-zero","*",5,"non-zero","*",2,"non-zero","*",1,"non-zero","*",2,"non-zero","*",2,"non-zero","*"
