"","C0","A0","A1","A2","H0","H1","H2","W0","W1","W2","B0","B1","B2","O0","O1","O2"
"1","Anderson",0,"zero","*",9,"non-zero","*",13,"non-zero","*",17,"non-zero","*",1,"non-zero","*"
"2","Andrews",0,"zero","*",2,"non-zero","*",1,"non-zero","*",0,"zero","*",0,"zero","*"
"3","Angelina",1,"non-zero","*",27,"non-zero","*",26,"non-zero","*",42,"non-zero","*",1,"non-zero","*"
"4","Aransas",1,"non-zero","*",2,"non-zero","*",20,"non-zero","*",0,"zero","*",0,"zero","*"
"5","Archer",0,"zero","*",0,"zero","*",1,"non-zero","*",0,"zero","*",0,"zero","*"
"6","Armstrong",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*"
"7","Atascosa",0,"zero","*",49,"non-zero","*",25,"non-zero","*",0,"zero","*",1,"non-zero","*"
"8","Austin",0,"zero","*",8,"non-zero","*",12,"non-zero","*",5,"non-zero","*",0,"zero","*"
"9","Bailey",0,"zero","*",2,"non-zero","*",1,"non-zero","*",1,"non-zero","*",0,"zero","*"
"10","Bandera",0,"zero","*",2,"non-zero","*",14,"non-zero","*",0,"zero","*",0,"zero","*"
"11","Bastrop",1,"non-zero","*",64,"non-zero","*",51,"non-zero","*",21,"non-zero","*",6,"non-zero","*"
"12","Baylor",0,"zero","*",0,"zero","*",0,"zero","*",1,"non-zero","*",0,"zero","*"
"13","Bee",0,"zero","*",26,"non-zero","*",15,"non-zero","*",3,"non-zero","*",0,"zero","*"
"14","Bell",33,"non-zero","*",188,"non-zero","*",242,"non-zero","*",378,"non-zero","*",52,"non-zero","*"
"15","Bexar",168,"non-zero","*",2937,"non-zero","*",1323,"non-zero","*",676,"non-zero","*",76,"non-zero","*"
"16","Blanco",0,"zero","*",5,"non-zero","*",12,"non-zero","*",0,"zero","*",0,"zero","*"
"17","Borden",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*",0,"zero","*"
"18","Bosque",0,"zero","*",3,"non-zero","*",4,"non-zero","*",0,"zero","*",0,"zero","*"
"19","Bowie",2,"non-zero","*",7,"non-zero","*",26,"non-zero","*",62,"non-zero","*",2,"non-zero","*"
"20","Brazoria",24,"non-zero","*",165,"non-zero","*",199,"non-zero","*",224,"non-zero","*",8,"non-zero","*"
"21","Brazos",16,"non-zero","*",85,"non-zero","*",131,"non-zero","*",95,"non-zero","*",3,"non-zero","*"
"22","Brewster",0,"zero","*",0,"zero","*",4,"non-zero","*",0,"zero","*",0,"zero","*"
