"","C0","A0","A1","A2","A3","A4","A5","A6","A7","H0","H1","H2","H3","H4","H5","H6","H7","W0","W1","W2","W3","W4","W5","W6","W7","B0","B1","B2","B3","B4","B5","B6","B7","O0","O1","O2","O3","O4","O5","O6","O7"
"1","Anderson",0,1,1,1,1,1,1,"*",9,13,7,4,3,2,2,"*",13,13,7,4,3,2,2,"*",17,17,9,5,4,3,2,"*",1,14,7,4,3,3,2,"*"
"2","Andrews",0,1,1,1,1,1,1,"*",2,7,4,2,2,2,1,"*",1,4,2,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*"
"3","Angelina",1,15,8,4,3,3,2,"*",27,17,9,5,4,3,2,"*",26,16,8,4,4,3,2,"*",42,19,10,5,4,3,2,"*",1,14,7,4,3,3,2,"*"
"4","Aransas",1,15,8,4,3,3,2,"*",2,7,4,2,2,2,1,"*",20,15,8,4,3,3,2,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*"
"5","Archer",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",1,4,2,2,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*"
"6","Armstrong",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*"
"7","Atascosa",0,1,1,1,1,1,1,"*",49,18,9,5,4,3,2,"*",25,16,8,4,4,3,2,"*",0,1,1,1,1,1,1,"*",1,14,7,4,3,3,2,"*"
"8","Austin",0,1,1,1,1,1,1,"*",8,13,7,4,3,2,2,"*",12,13,7,4,3,2,2,"*",5,14,7,4,3,3,2,"*",0,1,1,1,1,1,1,"*"
"9","Bailey",0,1,1,1,1,1,1,"*",2,7,4,2,2,2,1,"*",1,5,3,2,1,1,1,"*",1,9,5,3,2,2,1,"*",0,1,1,1,1,1,1,"*"
"10","Bandera",0,1,1,1,1,1,1,"*",2,7,4,2,2,2,1,"*",14,14,7,4,3,2,2,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*"
"11","Bastrop",1,15,8,4,3,3,2,"*",64,18,9,5,4,3,2,"*",51,18,9,5,4,3,2,"*",21,17,9,5,4,3,2,"*",6,19,10,5,4,3,2,"*"
"12","Baylor",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",1,9,5,3,2,2,1,"*",0,1,1,1,1,1,1,"*"
"13","Bee",0,1,1,1,1,1,1,"*",26,16,9,5,4,3,2,"*",15,14,7,4,3,3,2,"*",3,12,6,3,3,2,2,"*",0,1,1,1,1,1,1,"*"
"14","Bell",33,20,10,5,4,3,2,"*",188,19,10,5,4,3,2,"*",242,20,10,5,4,3,2,"*",378,20,10,5,4,3,2,"*",52,20,10,5,4,3,2,"*"
"15","Bexar",168,20,10,5,4,3,2,"*",2937,20,10,5,4,3,2,"*",1323,20,10,5,4,3,2,"*",676,20,10,5,4,3,2,"*",76,20,10,5,4,3,2,"*"
"16","Blanco",0,1,1,1,1,1,1,"*",5,12,6,3,3,2,2,"*",12,13,7,4,3,2,2,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*"
"17","Borden",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*"
"18","Bosque",0,1,1,1,1,1,1,"*",3,9,5,3,2,2,1,"*",4,9,5,3,2,2,1,"*",0,1,1,1,1,1,1,"*",0,1,1,1,1,1,1,"*"
"19","Bowie",2,17,9,5,4,3,2,"*",7,13,7,4,3,2,2,"*",26,16,8,4,4,3,2,"*",62,19,10,5,4,3,2,"*",2,16,8,4,4,3,2,"*"
"20","Brazoria",24,20,10,5,4,3,2,"*",165,19,10,5,4,3,2,"*",199,19,10,5,4,3,2,"*",224,20,10,5,4,3,2,"*",8,19,10,5,4,3,2,"*"
